tick,maxcos_all,maxcos_old,maxcos_old_rot,n_old
299,1.00000,nan,nan,0
300,1.00000,nan,nan,1
301,1.00000,nan,nan,2
302,1.00000,nan,nan,3
303,1.00000,nan,nan,4
304,1.00000,nan,nan,5
305,1.00000,nan,nan,6
306,1.00000,nan,nan,7
307,1.00000,nan,nan,8
308,1.00000,nan,nan,9
309,1.00000,nan,nan,10
310,1.00000,nan,nan,11
311,1.00000,nan,nan,12
312,1.00000,nan,nan,13
313,1.00000,nan,nan,14
314,1.00000,nan,nan,15
430,1.00000,nan,nan,117
431,1.00000,nan,nan,118
432,1.00000,nan,nan,119
433,1.00000,nan,nan,120
434,1.00000,nan,nan,120
435,1.00000,nan,nan,121
436,1.00000,nan,nan,122
437,1.00000,nan,nan,123
438,1.00000,nan,nan,124
439,1.00000,nan,nan,125
440,1.00000,nan,nan,125
441,1.00000,nan,nan,126
442,1.00000,nan,nan,127
443,1.00000,nan,nan,128
444,1.00000,nan,nan,129
445,1.00000,nan,nan,130
446,1.00000,nan,nan,130
447,1.00000,nan,nan,131
448,1.00000,nan,nan,132
449,1.00000,nan,nan,133
450,1.00000,nan,nan,134
451,1.00000,nan,nan,135
452,1.00000,nan,nan,136
453,1.00000,nan,nan,137
454,1.00000,nan,nan,138
455,1.00000,nan,nan,139
456,1.00000,nan,nan,140
457,1.00000,nan,nan,141
458,1.00000,nan,nan,142
459,1.00000,nan,nan,143
460,1.00000,nan,nan,144
461,1.00000,nan,nan,145
462,1.00000,nan,nan,146
463,1.00000,nan,nan,147
464,1.00000,nan,nan,148
465,1.00000,nan,nan,148
466,1.00000,nan,nan,149
467,1.00000,nan,nan,150
468,1.00000,nan,nan,151
469,1.00000,nan,nan,152
470,1.00000,nan,nan,153
471,1.00000,nan,nan,154
472,1.00000,nan,nan,155
473,1.00000,nan,nan,156
474,1.00000,nan,nan,157
475,1.00000,nan,nan,158
476,1.00000,nan,nan,159
477,1.00000,nan,nan,160
478,1.00000,nan,nan,161
479,1.00000,nan,nan,162
480,1.00000,nan,nan,163
481,1.00000,nan,nan,164
482,1.00000,nan,nan,165
483,1.00000,nan,nan,166
484,1.00000,nan,nan,167
485,1.00000,nan,nan,168
486,1.00000,nan,nan,169
487,1.00000,nan,nan,170
488,1.00000,nan,nan,171
489,1.00000,nan,nan,172
490,1.00000,nan,nan,173
491,1.00000,nan,nan,158
592,1.00000,nan,nan,236
593,1.00000,nan,nan,237
594,1.00000,nan,nan,238
595,1.00000,nan,nan,239
596,1.00000,nan,nan,239
597,1.00000,nan,nan,240
598,1.00000,nan,nan,241
599,1.00000,nan,nan,242
600,1.00000,nan,nan,242
601,1.00000,nan,nan,243
602,1.00000,nan,nan,244
603,1.00000,nan,nan,245
604,1.00000,nan,nan,246
605,1.00000,nan,nan,247
606,1.00000,nan,nan,248
607,1.00000,nan,nan,248
608,1.00000,nan,nan,249
609,1.00000,nan,nan,250
610,1.00000,nan,nan,251
611,1.00000,nan,nan,252
612,1.00000,nan,nan,252
613,1.00000,nan,nan,253
614,1.00000,nan,nan,254
615,1.00000,nan,nan,255
616,1.00000,nan,nan,255
617,1.00000,nan,nan,255
618,1.00000,nan,nan,255
619,1.00000,nan,nan,255
620,1.00000,nan,nan,255
621,1.00000,nan,nan,255
622,1.00000,nan,nan,255
623,1.00000,nan,nan,255
624,1.00000,nan,nan,255
625,1.00000,nan,nan,255
626,1.00000,nan,nan,255
627,1.00000,nan,nan,255
628,1.00000,nan,nan,255
629,1.00000,nan,nan,255
630,1.00000,nan,nan,255
631,1.00000,nan,nan,255
632,1.00000,nan,nan,255
633,1.00000,nan,nan,255
634,1.00000,nan,nan,255
635,1.00000,nan,nan,255
636,1.00000,nan,nan,255
637,1.00000,nan,nan,255
638,1.00000,nan,nan,255
639,1.00000,nan,nan,255
640,1.00000,nan,nan,255
641,1.00000,nan,nan,255
642,1.00000,nan,nan,255
643,1.00000,nan,nan,255
644,1.00000,nan,nan,255
645,1.00000,nan,nan,255
646,1.00000,nan,nan,255
647,1.00000,nan,nan,255
648,1.00000,nan,nan,255
649,1.00000,nan,nan,255
650,1.00000,nan,nan,255
651,1.00000,nan,nan,255
652,1.00000,nan,nan,255
653,1.00000,nan,nan,255
654,1.00000,nan,nan,255
655,1.00000,nan,nan,255
656,1.00000,nan,nan,255
657,1.00000,nan,nan,255
658,1.00000,nan,nan,255
659,1.00000,nan,nan,255
660,1.00000,nan,nan,255
661,1.00000,nan,nan,255
662,1.00000,nan,nan,255
663,1.00000,nan,nan,255
664,1.00000,nan,nan,255
665,1.00000,nan,nan,255
666,1.00000,nan,nan,255
667,1.00000,nan,nan,255
668,1.00000,nan,nan,234
769,1.00000,nan,nan,279
770,1.00000,nan,nan,280
771,1.00000,nan,nan,281
772,1.00000,nan,nan,282
773,1.00000,nan,nan,282
774,1.00000,nan,nan,283
775,1.00000,nan,nan,284
776,1.00000,nan,nan,285
777,1.00000,nan,nan,286
778,1.00000,nan,nan,287
779,1.00000,nan,nan,288
780,1.00000,nan,nan,289
781,1.00000,nan,nan,290
782,1.00000,nan,nan,290
783,1.00000,nan,nan,290
784,1.00000,nan,nan,290
785,1.00000,nan,nan,291
786,1.00000,nan,nan,291
787,1.00000,nan,nan,292
788,1.00000,nan,nan,293
789,1.00000,nan,nan,294
790,1.00000,nan,nan,295
791,1.00000,nan,nan,296
792,1.00000,nan,nan,296
793,1.00000,nan,nan,296
794,1.00000,nan,nan,296
795,1.00000,nan,nan,296
796,1.00000,nan,nan,296
797,1.00000,nan,nan,296
798,1.00000,nan,nan,296
799,1.00000,nan,nan,296
800,1.00000,nan,nan,296
801,1.00000,nan,nan,296
802,1.00000,nan,nan,296
803,1.00000,nan,nan,296
804,1.00000,nan,nan,296
805,1.00000,nan,nan,296
806,1.00000,nan,nan,296
807,1.00000,nan,nan,296
808,1.00000,nan,nan,296
809,1.00000,nan,nan,296
810,1.00000,nan,nan,296
811,1.00000,nan,nan,296
812,1.00000,nan,nan,296
813,1.00000,nan,nan,296
814,1.00000,nan,nan,296
815,1.00000,nan,nan,296
816,1.00000,nan,nan,296
817,1.00000,nan,nan,296
818,1.00000,nan,nan,296
819,1.00000,nan,nan,296
