A,B,R,fate_recovered,t_rec,t_abs,min_ab
0.0000,0.0000,0.0000,0,inf,0.02,0.00000
0.0000,0.0000,0.1488,0,inf,0.02,0.00000
0.0000,0.0000,0.2976,0,inf,0.02,0.00000
0.0000,0.0000,0.4464,0,inf,0.02,0.00000
0.0000,0.0000,0.5952,0,inf,0.02,0.00000
0.0000,0.0000,0.7440,0,inf,0.02,0.00000
0.0000,0.0000,0.8929,0,inf,0.02,0.00000
0.0000,0.0000,1.0417,0,inf,0.02,0.00000
0.0000,0.0000,1.1905,0,inf,0.02,0.00000
0.0000,0.0000,1.3393,0,inf,0.02,0.00000
0.0000,0.0000,1.4881,0,inf,0.02,0.00000
0.0000,0.0000,1.6369,0,inf,0.02,0.00000
0.0000,0.0000,1.7857,0,inf,0.02,0.00000
0.0000,0.0000,1.9345,0,inf,0.02,0.00000
0.0000,0.0000,2.0833,0,inf,0.02,0.00000
0.0000,0.0000,2.2321,0,inf,0.02,0.00000
0.0000,0.0000,2.3810,0,inf,0.02,0.00000
0.0000,0.0000,2.5298,0,inf,0.02,0.00000
0.0000,0.0000,2.6786,0,inf,0.02,0.00000
0.0000,0.0000,2.8274,0,inf,0.02,0.00000
0.0000,0.0000,2.9762,0,inf,0.02,0.00000
0.0000,0.0000,3.1250,0,inf,0.02,0.00000
0.0000,0.0000,3.2738,0,inf,0.02,0.00000
0.0000,0.0000,3.4226,0,inf,0.02,0.00000
0.0000,0.0000,3.5714,0,inf,0.02,0.00000
0.0000,0.0000,3.7202,0,inf,0.02,0.00000
0.0000,0.0000,3.8690,0,inf,0.02,0.00000
0.0000,0.0000,4.0179,0,inf,0.02,0.00000
0.0000,0.0000,4.1667,0,inf,0.02,0.00000
0.0000,0.0000,4.3155,0,inf,0.02,0.00000
0.0000,0.0000,4.4643,0,inf,0.02,0.00000
0.0000,0.0000,4.6131,0,inf,0.02,0.00000
0.0000,0.0000,4.7619,0,inf,0.02,0.00000
0.0000,0.0000,4.9107,0,inf,0.02,0.00000
0.0000,0.0000,5.0595,0,inf,0.02,0.00000
0.0000,0.0000,5.2083,0,inf,0.02,0.00000
0.0000,0.0000,5.3571,0,inf,0.02,0.00000
0.0000,0.0000,5.5060,0,inf,0.02,0.00000
0.0000,0.0000,5.6548,0,inf,0.02,0.00000
0.0000,0.0000,5.8036,0,inf,0.02,0.00000
0.0000,0.0000,5.9524,0,inf,0.02,0.00000
0.0000,0.0000,6.1012,0,inf,0.02,0.00000
0.0000,0.0000,6.2500,0,inf,0.02,0.00000
0.0000,0.0000,6.3988,0,inf,0.02,0.00000
0.0000,0.0000,6.5476,0,inf,0.02,0.00000
0.0000,0.0000,6.6964,0,inf,0.02,0.00000
