A+B lo,A+B hi,R lo,R hi,n_formal,far_frac_1x_spacing,far_frac_2x_spacing,far_frac_3x_spacing,recovered_frac
0.0,0.1,0.0,1.0,969,0.9814241486068112,0.9267285861713106,0.8390092879256966,0.0
0.0,0.1,1.0,3.0,1938,0.9282765737874097,0.8477812177502579,0.7265221878224974,0.0
0.0,0.1,3.0,5.933333333333334,2793,0.8739706408879341,0.677765843179377,0.5868242033655567,0.0
0.1,0.3,0.0,1.0,6936,1.0,1.0,1.0,0.5857843137254902
0.1,0.3,1.0,3.0,13872,0.9992070357554786,0.9963956170703575,0.990484429065744,0.5857843137254902
0.1,0.3,3.0,5.933333333333334,19992,0.9686374549819928,0.8654461784713886,0.7894157663065227,0.5857843137254902
0.3,0.5,0.0,1.0,13770,1.0,1.0,1.0,0.9481481481481482
0.3,0.5,1.0,3.0,27540,0.9995642701525055,0.9973493100944081,0.9925199709513435,0.9481481481481482
0.3,0.5,3.0,5.933333333333334,39690,0.9818342151675485,0.9107079868984631,0.855933484504913,0.9481481481481482
0.5,0.9,0.0,1.0,48212,1.0,1.0,1.0,0.9717912552891397
0.5,0.9,1.0,3.0,96424,1.0,0.9998859205177134,0.9993362648303327,0.9717912552891397
0.5,0.9,3.0,5.933333333333334,138964,0.9886229527071759,0.9644440286692957,0.9423375838346623,0.9717912552891397
0.9,1.01,0.0,1.0,17680,1.0,1.0,1.0,0.9788461538461538
0.9,1.01,1.0,3.0,35360,1.0,1.0,1.0,0.9788461538461538
0.9,1.01,3.0,5.933333333333334,50960,1.0,1.0,1.0,0.9788461538461538
