A+B lo,A+B hi,R lo,R hi,n_formal,far_from_reachable_frac(T=300 protocol),recovered_frac
0.0,0.1,0.0,1.0,798,0.6140350877192983,0.0
0.0,0.1,1.0,3.0,1539,0.5159194282001299,0.0
0.0,0.1,3.0,7.391666666666666,3363,0.7338685697294083,0.0
0.1,0.3,0.0,1.0,5712,1.0,0.6106442577030813
0.1,0.3,1.0,3.0,11016,0.9994553376906318,0.67619825708061
0.1,0.3,3.0,7.391666666666666,24072,0.8905367231638418,0.7404453306746427
0.3,0.5,0.0,1.0,11340,1.0,0.9500881834215168
0.3,0.5,1.0,3.0,21870,1.0,0.9506172839506173
0.3,0.5,3.0,7.391666666666666,47790,0.9437748482946223,0.9506172839506173
0.5,0.9,0.0,1.0,39704,1.0,0.9717912552891397
0.5,0.9,1.0,3.0,76572,1.0,0.9717912552891397
0.5,0.9,3.0,7.391666666666666,167324,0.9703449594798116,0.9717912552891397
0.9,1.01,0.0,1.0,14560,1.0,0.9788461538461538
0.9,1.01,1.0,3.0,28080,1.0,0.9788461538461538
0.9,1.01,3.0,7.391666666666666,61360,0.9933344198174706,0.9788461538461538
