A+B lo,A+B hi,R lo,R hi,n_formal,far_frac_1x_spacing,far_frac_2x_spacing,far_frac_3x_spacing,recovered_frac
0.0,0.1,0.0,1.0,969,0.9742002063983488,0.9195046439628483,0.8307533539731682,0.0
0.0,0.1,1.0,3.0,1938,0.8611971104231166,0.6919504643962848,0.5134158926728586,0.0
0.0,0.1,3.0,5.933333333333334,2793,0.87468671679198,0.7107053347654851,0.6433941997851772,0.0
0.1,0.3,0.0,1.0,6936,1.0,1.0,1.0,0.5532006920415224
0.1,0.3,1.0,3.0,13872,0.9923587081891581,0.9697231833910035,0.9369232987312572,0.46366782006920415
0.1,0.3,3.0,5.933333333333334,19992,0.9516806722689075,0.849139655862345,0.7856642657062826,0.34028611444577833
0.3,0.5,0.0,1.0,13770,1.0,1.0,1.0,0.9432098765432099
0.3,0.5,1.0,3.0,27540,0.9993827160493827,0.9970225127087872,0.9921205519244735,0.9291938997821351
0.3,0.5,3.0,5.933333333333334,39690,0.9744016124968506,0.9079113126732175,0.8602670697908793,0.8953892668178383
0.5,0.9,0.0,1.0,48212,1.0,1.0,1.0,0.9717912552891397
0.5,0.9,1.0,3.0,96424,0.9999274039658176,0.9995436820708538,0.9984443706960923,0.9717912552891397
0.5,0.9,3.0,5.933333333333334,138964,0.9893065829999137,0.9725972194237357,0.9576149218502634,0.9717049019890044
0.9,1.01,0.0,1.0,17680,1.0,1.0,1.0,0.9788461538461538
0.9,1.01,1.0,3.0,35360,1.0,1.0,1.0,0.9788461538461538
0.9,1.01,3.0,5.933333333333334,50960,1.0,1.0,1.0,0.9788461538461538
