split_fraction_to_b,recovered
0.0000,False
0.0250,True
0.0500,True
0.0750,True
0.1000,True
0.1250,True
0.1500,True
0.1750,True
0.2000,True
0.2250,True
0.2500,True
0.2750,True
0.3000,True
0.3250,True
0.3500,True
0.3750,True
0.4000,True
0.4250,True
0.4500,True
0.4750,True
0.5000,True
0.5250,True
0.5500,True
0.5750,True
0.6000,True
0.6250,True
0.6500,True
0.6750,True
0.7000,True
0.7250,True
0.7500,True
0.7750,True
0.8000,True
0.8250,True
0.8500,True
0.8750,True
0.9000,True
0.9250,True
0.9500,True
0.9750,True
1.0000,False
