t,a_sym,b_sym,a_asym,b_asym,p_sym,p_asym
0.000,0.210391,0.210391,0.420782,0.000000,0.076916,0.000000
0.050,0.212144,0.212144,0.416595,0.000000,0.077730,0.000000
0.100,0.213921,0.213921,0.412450,0.000000,0.078550,0.000000
0.150,0.215721,0.215721,0.408346,0.000000,0.079374,0.000000
0.200,0.217544,0.217544,0.404283,0.000000,0.080204,0.000000
0.250,0.219391,0.219391,0.400260,0.000000,0.081038,0.000000
0.300,0.221260,0.221260,0.396278,0.000000,0.081876,0.000000
0.350,0.223153,0.223153,0.392335,0.000000,0.082717,0.000000
0.400,0.225069,0.225069,0.388431,0.000000,0.083561,0.000000
0.450,0.227008,0.227008,0.384566,0.000000,0.084408,0.000000
0.500,0.228969,0.228969,0.380739,0.000000,0.085256,0.000000
0.550,0.230954,0.230954,0.376951,0.000000,0.086105,0.000000
0.600,0.232961,0.232961,0.373200,0.000000,0.086954,0.000000
0.650,0.234990,0.234990,0.369487,0.000000,0.087804,0.000000
0.700,0.237041,0.237041,0.365810,0.000000,0.088652,0.000000
0.750,0.239114,0.239114,0.362170,0.000000,0.089498,0.000000
0.800,0.241209,0.241209,0.358567,0.000000,0.090341,0.000000
0.850,0.243324,0.243324,0.354999,0.000000,0.091181,0.000000
0.900,0.245460,0.245460,0.351467,0.000000,0.092017,0.000000
0.950,0.247616,0.247616,0.347970,0.000000,0.092848,0.000000
1.000,0.249792,0.249792,0.344507,0.000000,0.093672,0.000000
1.050,0.251988,0.251988,0.341079,0.000000,0.094489,0.000000
1.100,0.254201,0.254201,0.337685,0.000000,0.095299,0.000000
1.150,0.256433,0.256433,0.334325,0.000000,0.096099,0.000000
1.200,0.258682,0.258682,0.330999,0.000000,0.096889,0.000000
1.250,0.260948,0.260948,0.327705,0.000000,0.097668,0.000000
1.300,0.263230,0.263230,0.324445,0.000000,0.098435,0.000000
1.350,0.265527,0.265527,0.321216,0.000000,0.099188,0.000000
1.400,0.267838,0.267838,0.318020,0.000000,0.099928,0.000000
1.450,0.270163,0.270163,0.314856,0.000000,0.100652,0.000000
1.500,0.272500,0.272500,0.311723,0.000000,0.101360,0.000000
1.550,0.274848,0.274848,0.308621,0.000000,0.102050,0.000000
1.600,0.277207,0.277207,0.305550,0.000000,0.102722,0.000000
1.650,0.279576,0.279576,0.302510,0.000000,0.103374,0.000000
1.700,0.281953,0.281953,0.299500,0.000000,0.104005,0.000000
1.750,0.284337,0.284337,0.296520,0.000000,0.104615,0.000000
1.800,0.286727,0.286727,0.293570,0.000000,0.105202,0.000000
1.850,0.289122,0.289122,0.290649,0.000000,0.105766,0.000000
1.900,0.291521,0.291521,0.287757,0.000000,0.106305,0.000000
1.950,0.293922,0.293922,0.284893,0.000000,0.106819,0.000000
