rho,r_grid,fates
0.7000,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7050,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7100,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7150,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7200,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7250,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7300,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7350,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7400,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7450,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7500,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7550,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7600,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7650,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7700,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7750,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7800,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7850,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7900,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.7950,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.8000,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.8050,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.8100,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.8150,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[True, True, True, True, True]"
0.8200,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, True, True, True, True]"
0.8250,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, True, True, True, True]"
0.8300,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, True, True, True]"
0.8350,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, True, True, True]"
0.8400,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, False, True, True]"
0.8450,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, False, False, True]"
0.8500,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, False, False, False]"
0.8550,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, False, False, False]"
0.8600,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, False, False, False]"
0.8650,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, False, False, False]"
0.8700,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, False, False, False]"
0.8750,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, False, False, False]"
0.8800,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, False, False, False]"
0.8850,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, False, False, False]"
0.8900,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, False, False, False]"
0.8950,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, False, False, False]"
0.9000,"[0.2, 1.2399121955006331, 2.2798243910012665, 3.3197365865018997, 4.359648782002533]","[False, False, False, False, False]"
