eps,state,r,recovered
0.25,EQ,4.2,True
0.25,EQ,4.239912195500633,True
0.25,EQ,4.2798243910012665,True
0.25,EQ,4.3197365865019,True
0.25,EQ,4.359648782002533,True
0.25,mid,4.2,True
0.25,mid,4.239912195500633,True
0.25,mid,4.2798243910012665,True
0.25,mid,4.3197365865019,True
0.25,mid,4.359648782002533,True
0.0,EQ,4.2,True
0.0,EQ,4.239912195500633,True
0.0,EQ,4.2798243910012665,True
0.0,EQ,4.3197365865019,True
0.0,EQ,4.359648782002533,True
0.0,mid,4.2,True
0.0,mid,4.239912195500633,True
0.0,mid,4.2798243910012665,True
0.0,mid,4.3197365865019,True
0.0,mid,4.359648782002533,True
-0.25,EQ,4.2,True
-0.25,EQ,4.239912195500633,True
-0.25,EQ,4.2798243910012665,True
-0.25,EQ,4.3197365865019,True
-0.25,EQ,4.359648782002533,True
-0.25,mid,4.2,True
-0.25,mid,4.239912195500633,True
-0.25,mid,4.2798243910012665,True
-0.25,mid,4.3197365865019,True
-0.25,mid,4.359648782002533,True
