seed,arm,e_w1_end,e_w2_start,rel_gain1,rel_gain2,syn_W1,syn_W2,syn_W3,syn_W4,recovery_W3,appr_W1,appr_W2,appr_W3,appr_W4,cos_before,cos_during,ent_ext_idle,ent_ext_wake,ent_int_idle
0,full,0.031645943834826065,0.032635115739833145,-0.03125746158536261,-0.029791324614320987,0,0,0,0,60,0.02748907638641085,0.19658524394333846,0.6347523872277977,0.6622211850205619,0.2666545539227548,0.5564718452319246,0.0,5.737883041316439,0.0
1,full,0.039874283945352265,0.04483306417362332,-0.12436035492716846,0.026411965586574344,1,0,0,0,31,0.03467882680881547,0.010405532612434798,0.0005591820647863936,7.7201482844447e-05,-0.26991380588170416,-0.10184356796285043,0.0,4.65799344614538,0.0
2,full,0.04428209212691277,0.042819830604238815,0.033021508682597754,0.021042456503219144,7,0,0,0,24,-0.04293525242004224,-0.09362701308824206,0.16453421971058776,0.17671267278238093,-0.15360996924320117,-0.06174738234150572,0.0,4.01071926659627,1.0821178260789313
3,full,0.03673173824268394,0.04025413605424757,-0.095895208998719,0.038603519032274235,1,0,0,0,72,0.1701462467410499,0.3134375906290385,0.015719849011399743,0.0016477978316347924,0.4311179219214534,0.5411660487543805,0.0,5.339049337282751,0.0
4,full,0.04770554704597757,0.05199790514323575,-0.08997607769061358,-0.07053183823711003,0,0,0,0,102,-0.21760103288861513,-0.23034508272337223,0.2973682736706544,0.32225617228560977,0.3035083719014181,0.3580578452813449,0.0,5.2662581516266425,1.0
0,uniform,0.031236070396764633,0.033619069413520546,-0.07628997214427993,-0.02277020462031618,0,0,0,0,102,0.4889438988253049,0.5407621594699341,0.7346688169736612,0.7438085003906753,0.42852893063270026,0.47650547782146735,0.0,5.738319868417074,0.0
1,uniform,0.0346797712270888,0.029487874051321042,0.14970966769246255,-0.0761604185556901,6,0,0,0,163,0.007935916629827566,-0.01116271239294755,-0.15645155174991432,-0.16355919185325557,0.4457622917365912,0.38768913615347467,0.0,3.85598062895356,0.0
2,uniform,0.023488373761203333,0.018120457931587317,0.22853500440917743,0.08540114360859273,13,11,5,2,614,0.00017825855496058415,0.00010314831133736515,0.031615145298816275,-0.02856587408430475,0.8772289472269517,0.912047923630726,0.0,2.5253542645505913,0.9999819662368479
3,uniform,0.04232534297204778,0.04826132540952559,-0.14024652561354287,0.05444920796966962,0,0,0,0,31,0.07801493577311253,0.08192685726224354,0.004570362591536665,0.0009253376727162629,0.5309624399051215,0.6289506622771962,0.0,5.0751191118403565,0.0
4,uniform,0.04806825126976081,0.052987306255746776,-0.10233480007511085,-0.1026066819255789,0,0,0,0,47,-0.2624140350703629,-0.2758964372530901,-0.1251360971909414,-0.11801956183697758,0.46494541559294517,0.49982451152328855,0.0,5.333698043018688,1.021497858627339
0,none,0.03138648734504466,0.025236807522198052,0.19593398774786874,-0.18832413201891202,4,0,0,0,2156,0.010712790609646871,-0.0013735109828094212,-0.38761515102470684,-0.40584202466093217,0.0,0.0,0.0,4.693447161395454,0.0
1,none,0.03305000345386946,0.03530233496046156,-0.06814920432872754,0.031500529857002274,0,0,0,0,16,0.030352458580382324,0.06087965544417671,0.0028780401019883107,0.00015079006728162088,0.0,0.0,0.0,4.177163148674892,0.0
2,none,0.033465906698622164,0.0340593611134075,-0.01773310379415681,0.054008369635326466,3,0,0,0,1582,-0.054127030087023284,-0.07227882661371786,0.3556029693720206,0.3756909061273056,0.0,0.0,0.0,4.861357078161534,1.2512122187390573
3,none,0.035361948728438675,0.03756430606189723,-0.06228042713627246,-0.050880830340861445,0,0,0,0,84,0.36047433461598305,0.47230788564560355,-0.10220104225676485,-0.12930535996825748,0.0,0.0,0.0,5.54318651234054,0.0
4,none,0.014460871471030295,0.010281773336256836,0.2889934990537753,-0.0467480294903308,11,9,12,10,20,9.7129020077554e-05,0.007870315779715777,0.0009916829181451186,0.0027643002703887434,0.0,0.0,0.0,0.9221091372180233,1.9989607866069954
