arm,tick,phase,err_ema,C,energy,approach,syncopes
full,0,0,0.10203,-0.30000,0.82808,0.00126,0.00000
full,10,0,0.12690,-0.30000,0.87246,0.01214,0.00000
full,20,0,0.13494,-0.30000,0.83312,0.02103,0.00000
full,30,0,0.13448,-0.30000,0.79962,0.02661,0.00000
full,40,0,0.13114,-0.22393,0.77494,0.02925,0.00000
full,50,0,0.12750,-0.22393,0.74610,0.02883,0.00000
full,60,0,0.12369,-0.22393,0.72208,0.02680,0.00000
full,70,0,0.11956,-0.22393,0.69892,0.02433,0.00000
full,80,0,0.11608,-0.16602,0.67973,0.02109,0.00000
full,90,0,0.11301,-0.16602,0.66501,0.01910,0.00000
full,100,0,0.11018,-0.16602,0.68180,0.02260,0.00000
full,110,0,0.10760,-0.16602,0.77236,0.02660,0.20000
full,120,0,0.10483,-0.13354,0.77236,0.02852,0.20000
full,130,0,0.10279,-0.13354,0.77078,0.02639,0.20000
full,140,0,0.10104,-0.13354,0.76876,0.02139,0.20000
full,150,0,0.09973,-0.13354,0.75928,0.01545,0.20000
full,160,0,0.09750,-0.11103,0.74509,0.01003,0.20000
full,170,0,0.09523,-0.11103,0.72830,0.00504,0.20000
full,180,0,0.09346,-0.11103,0.71074,0.00069,0.20000
full,190,0,0.09174,-0.11103,0.69667,-0.00360,0.20000
full,200,0,0.08969,-0.09487,0.71712,-0.00665,0.20000
full,210,0,0.08719,-0.09487,0.74462,-0.00838,0.20000
full,220,0,0.08446,-0.09487,0.74588,-0.01089,0.20000
full,230,0,0.08153,-0.09487,0.71943,-0.01423,0.20000
full,240,0,0.07866,-0.07548,0.69572,-0.01792,0.20000
full,250,0,0.07623,-0.07548,0.65929,-0.02177,0.20000
full,260,0,0.07377,-0.07548,0.62418,-0.02508,0.20000
full,270,0,0.07170,-0.07548,0.69445,-0.02751,0.40000
full,280,0,0.06987,-0.06727,0.67210,-0.02974,0.40000
full,290,0,0.06803,-0.06727,0.68608,-0.03090,0.40000
full,300,0,0.06633,-0.06727,0.68954,-0.03244,0.40000
full,310,0,0.06469,-0.06727,0.68612,-0.03414,0.40000
full,320,0,0.06354,-0.06124,0.67808,-0.03544,0.40000
full,330,0,0.06239,-0.06124,0.67138,-0.03636,0.40000
full,340,0,0.06100,-0.06124,0.67462,-0.03706,0.40000
full,350,0,0.05970,-0.06124,0.65112,-0.03853,0.40000
full,360,0,0.05874,-0.05719,0.62842,-0.03992,0.40000
full,370,0,0.05776,-0.05719,0.60481,-0.04067,0.40000
full,380,0,0.05662,-0.05719,0.57379,-0.04169,0.40000
full,390,0,0.05535,-0.05719,0.53198,-0.04276,0.40000
full,400,0,0.05427,-0.04959,0.49675,-0.04355,0.40000
full,410,0,0.05365,-0.04959,0.46701,-0.04409,0.40000
full,420,0,0.05283,-0.04959,0.45264,-0.04427,0.40000
full,430,0,0.05196,-0.04959,0.42582,-0.04457,0.40000
full,440,0,0.05138,-0.04904,0.48744,-0.04532,0.60000
full,450,0,0.05139,-0.04904,0.46833,-0.04579,0.60000
full,460,0,0.05131,-0.04904,0.44231,-0.04637,0.60000
full,470,0,0.05188,-0.04904,0.52703,-0.04655,0.80000
full,480,0,0.05188,-0.05021,0.52019,-0.04667,0.80000
full,490,0,0.05203,-0.05021,0.51225,-0.04685,0.80000
full,500,0,0.05216,-0.05021,0.50194,-0.04703,0.80000
full,510,0,0.05187,-0.05021,0.49480,-0.04718,0.80000
full,520,0,0.05169,-0.05384,0.48244,-0.04741,0.80000
full,530,0,0.05178,-0.05384,0.47287,-0.04757,0.80000
full,540,0,0.05230,-0.05384,0.46382,-0.04767,0.80000
full,550,0,0.05236,-0.05384,0.53418,-0.04768,1.00000
full,560,0,0.05170,-0.04942,0.52026,-0.04765,1.00000
full,570,0,0.05131,-0.04942,0.49671,-0.04766,1.00000
full,580,0,0.05037,-0.04942,0.47099,-0.04768,1.00000
full,590,0,0.04932,-0.04942,0.45982,-0.04729,1.00000
full,600,0,0.04864,-0.04726,0.43958,-0.04724,1.00000
full,610,0,0.04803,-0.04726,0.44391,-0.04642,1.00000
full,620,0,0.04764,-0.04726,0.59432,-0.04405,1.20000
full,630,0,0.04871,-0.04726,0.66056,-0.03860,1.20000
full,640,0,0.04984,-0.04798,0.66056,-0.03474,1.20000
full,650,0,0.05148,-0.04798,0.65643,-0.02777,1.20000
full,660,0,0.05292,-0.04798,0.64590,-0.02203,1.20000
full,670,0,0.05341,-0.04798,0.65465,-0.01775,1.20000
full,680,0,0.05305,-0.05154,0.64125,-0.01269,1.20000
full,690,0,0.05256,-0.05154,0.66195,-0.00769,1.20000
full,700,0,0.05201,-0.05154,0.70622,-0.00419,1.20000
full,710,0,0.05274,-0.05154,0.76966,-0.00066,1.20000
full,720,0,0.05403,-0.05195,0.75203,0.00297,1.20000
full,730,0,0.05513,-0.05195,0.73673,0.00765,1.20000
full,740,0,0.05531,-0.05195,0.72499,0.01599,1.20000
full,750,0,0.05474,-0.05195,0.71008,0.02319,1.20000
full,760,0,0.05457,-0.04997,0.70113,0.02845,1.20000
full,770,0,0.05407,-0.04997,0.69217,0.03463,1.20000
full,780,0,0.05347,-0.04997,0.68066,0.03904,1.20000
full,790,0,0.05354,-0.04997,0.76966,0.04353,1.40000
full,800,0,0.05380,-0.05020,0.76966,0.04231,1.40000
full,810,0,0.05444,-0.05020,0.76966,0.03905,1.40000
full,820,0,0.05466,-0.05020,0.76966,0.03940,1.40000
full,830,0,0.05538,-0.05020,0.76966,0.03890,1.40000
full,840,0,0.05511,-0.05254,0.76966,0.03577,1.40000
full,850,0,0.05545,-0.05254,0.76877,0.03133,1.40000
full,860,0,0.05555,-0.05254,0.76877,0.03117,1.40000
full,870,0,0.05680,-0.05254,0.76877,0.03050,1.40000
full,880,0,0.05869,-0.05848,0.76877,0.02575,1.40000
full,890,0,0.05964,-0.05848,0.75637,0.02146,1.40000
full,900,0,0.06068,-0.05848,0.73939,0.01747,1.40000
full,910,0,0.06079,-0.05848,0.72313,0.01350,1.40000
full,920,0,0.06037,-0.06486,0.71036,0.01002,1.40000
full,930,0,0.05984,-0.06486,0.69728,0.00714,1.40000
full,940,0,0.05905,-0.06486,0.68710,0.00459,1.40000
full,950,0,0.05851,-0.06486,0.76877,0.00225,1.60000
full,960,0,0.05799,-0.07285,0.76877,0.00036,1.60000
full,970,0,0.05674,-0.07285,0.76877,-0.00126,1.60000
full,980,0,0.05560,-0.07285,0.76877,-0.00266,1.60000
full,990,0,0.05506,-0.07285,0.76877,-0.00384,1.60000
full,1000,0,0.05455,-0.08104,0.76877,-0.00487,1.60000
full,1010,0,0.05375,-0.08104,0.76877,-0.00579,1.60000
full,1020,0,0.05274,-0.08104,0.76877,-0.00654,1.60000
full,1030,0,0.05199,-0.08104,0.76877,-0.00715,1.60000
full,1040,0,0.05089,-0.08760,0.76877,-0.00762,1.60000
full,1050,0,0.05031,-0.08760,0.76787,-0.00797,1.60000
full,1060,0,0.05002,-0.08760,0.74960,-0.00861,1.60000
full,1070,0,0.04969,-0.08760,0.73389,-0.00917,1.60000
full,1080,0,0.04921,-0.08923,0.72398,-0.00995,1.60000
full,1090,0,0.04866,-0.08923,0.71448,-0.01057,1.60000
full,1100,0,0.04834,-0.08923,0.70354,-0.01110,1.60000
full,1110,0,0.04784,-0.08923,0.69284,-0.01172,1.60000
full,1120,0,0.04770,-0.09233,0.68166,-0.01264,1.60000
full,1130,0,0.04731,-0.09233,0.76787,-0.01297,1.80000
full,1140,0,0.04666,-0.09233,0.76787,-0.01279,1.80000
full,1150,0,0.04605,-0.09233,0.76787,-0.01260,1.80000
full,1160,0,0.04554,-0.09269,0.76787,-0.01251,1.80000
full,1170,0,0.04514,-0.09269,0.76787,-0.01235,1.80000
full,1180,0,0.04481,-0.09269,0.76787,-0.01216,1.80000
full,1190,0,0.04449,-0.09269,0.76787,-0.01192,1.80000
full,1200,0,0.04408,-0.09357,0.76787,-0.01166,1.80000
full,1210,0,0.04394,-0.09357,0.76787,-0.01143,1.80000
full,1220,0,0.04374,-0.09357,0.76787,-0.01114,1.80000
full,1230,0,0.04473,-0.09357,0.76787,-0.01148,1.80000
full,1240,0,0.04534,-0.09594,0.76787,-0.01215,1.80000
full,1250,0,0.04565,-0.09594,0.76697,-0.01268,1.80000
full,1260,0,0.04610,-0.09594,0.76697,-0.01309,1.80000
full,1270,0,0.04600,-0.09594,0.76697,-0.01339,1.80000
full,1280,0,0.04639,-0.09888,0.76697,-0.01381,1.80000
full,1290,0,0.04672,-0.09888,0.76697,-0.01416,1.80000
full,1300,0,0.04698,-0.09888,0.76697,-0.01441,1.80000
full,1310,0,0.04661,-0.09888,0.76697,-0.01457,1.80000
full,1320,0,0.04627,-0.09836,0.76697,-0.01466,1.80000
full,1330,0,0.04596,-0.09836,0.76697,-0.01468,1.80000
full,1340,0,0.04597,-0.09836,0.76697,-0.01464,1.80000
full,1350,0,0.04621,-0.09836,0.76697,-0.01457,1.80000
full,1360,0,0.04616,-0.10206,0.76697,-0.01458,1.80000
full,1370,0,0.04596,-0.10206,0.76697,-0.01453,1.80000
full,1380,0,0.04573,-0.10206,0.76697,-0.01442,1.80000
full,1390,0,0.04509,-0.10206,0.76697,-0.01426,1.80000
full,1400,0,0.04463,-0.10357,0.76697,-0.01408,1.80000
full,1410,0,0.04433,-0.10357,0.76697,-0.01391,1.80000
full,1420,0,0.04391,-0.10357,0.76697,-0.01368,1.80000
full,1430,0,0.04336,-0.10357,0.76607,-0.01339,1.80000
full,1440,0,0.04317,-0.10282,0.76607,-0.01306,1.80000
